Tier                              ,Print/Online,General media,Business Media,Trade Media
Tier 1 Media ,Print,人民日报  People's Daily,第一财经日报  Chinese Business News,中国保险报 Chinese Insurance News
Tier 1 Media ,Print,人民日报海外版  People's Daily Overseas Edition,21世纪经济报道  21st Century Business Herald,保险经理人  CHINA INSURANCE MARKETING
Tier 1 Media,Print,中国日报  China Daily,经济观察报 The Economic Observer,保险行销 insurance marketing magazine
Tier 1 Media,Print,华夏时报  China Times,中国经营报  China Business Journal,保险文化Insurance culture
Tier 1 Media,Print,北京日报 Beijing Daily,经济参考报 Economic Reference Press,上海保险 Shanghai Insurance
Tier 1 Media,Print,京华时报   Beijing Times,金融时报  Financial News,
Tier 1 Media,Print,新京报   The Beijing News,中国证券报  China Securities Journal,
Tier 1 Media,Print,北京青年报 Beijing youth,上海证券报  Shanghai Securities News,
Tier 1 Media,Print,北京晨报 morning post,证券日报Securities Daily,
Tier 1 Media,Print,北京晚报 Beijing Evening,证券时报  Securities Times,
Tier 1 Media,Print,解放日报 Jiefang Daily,每日经济新闻  National Business Daily,
Tier 1 Media,Print,文汇报（上海）Wen Wei Po,中国经济时报   China Economic Times,
Tier 1 Media,Print,新闻晨报  Shanghai Morning Post,中国经济信息China Economic Information,
Tier 1 Media,Print,新民晚报  Xinmin Evening News,经济日报  Economic daily,
Tier 1 Media,Print,上海日报  Shanghai Daily,国际金融报  International Finance news,
Tier 1 Media,Print,青年报  Youth Daily,投资者报  Investor Journal Weekly,
Tier 1 Media,Print,东方早报  Oriental Morning Post,中国经济周刊  China Economic Weekly,
Tier 1 Media,Print,南京日报 Nanjing Daily,国际商报 International Business Daily,
Tier 1 Media,Print,南京晨报   Nanjing morning newspaper,理财周刊  Money Weekly,
Tier 1 Media,Print,现代快报 Modern Express,上海金融报  Shanghai Financial News,
Tier 1 Media,Print,扬子晚报  Yangtse Evening Post,大众证券报 Public Securities News,
Tier 1 Media,Print,金陵晚报 Jinling evening news,江苏商报 Jiangsu business daily,
Tier 1 Media,Print,东方卫报 Oriental Guardian,每日商报 Daily Business,
Tier 1 Media,Print,浙江日报 Zhejiang Daily,时代商报 Modern business paper,
Tier 1 Media,Print,都市快报 City Express,成都商报 Chengdu Business,
